state_name;district_name;Total No. of JobCards issued;Total No. of Workers;Total No. of Active Job Cards;Total No. of Active Workers;SC workers against active workers;ST workers against active workers;Approved Labour Budget;Persondays of Central Liability so far;SC persondays;ST persondays;Women Persondays;Average days of employment provided per Household;Average Wage rate per day per person(Rs.);Total No of HHs completed 100 Days of Wage Employment;Total Households Worked;Total Individuals Worked;Differently abled persons worked;Number of GPs with NIL exp;Total No. of Works Takenup (New+Spill Over);Number of Ongoing Works;Number of Completed Works;% of NRM Expenditure(Public + Individual);% of Category B Works;% of Expenditure on Agriculture & Agriculture Allied Works;Total Exp(Rs. in Lakhs.);Wages(Rs. In Lakhs);Material and skilled Wages(Rs. In Lakhs);Total Adm Expenditure (Rs. in Lakhs.)
BIHAR;KISHANGANJ;351186;429781;175789;219674;14119;5786;3585500;3312958;220432;88564;2144373;36;244.238109;119;90499;98608;124;0;15454;9846;5608;6.71;55;55.53;10001.67332;8091.50597;1861.207013;48.96034
BIHAR;SHEOHAR;133521;190148;73557;109313;12609;72;1464500;1266783;153774;1119;653463;37;238.9184383;244;33848;43357;19;0;13463;10073;3390;7.2;68;76.76;5856.39297;3026.57816;2806.39595;23.41886
BIHAR;SUPAUL;332323;474821;176746;260800;45900;1796;3193500;2012702;362979;13097;1171768;31;240.448502;164;63908;79512;87;3;26348;17493;8855;8.73;82;43.94;7435.981549;4839.511809;2510.208319;86.26142
BIHAR;BANKA;418785;586180;202350;289287;35884;15947;2831700;1855506;260544;93007;1005033;31;230.6718358;43;59096;68081;93;0;15298;12260;3038;30.72;63;61.72;6160.735354;4280.129753;1814.254801;66.3508
BIHAR;LAKHISARAI;178269;212176;110308;133576;23686;2287;2281502;1367405;211351;25943;713781;29;241.0650246;27;47024;51002;20;1;14680;9561;5119;8.86;67;57.71;6147.452413;3296.3352;2832.106353;19.01086
BIHAR;Sheikhpura;131264;164179;61747;75328;17471;217;1629500;1183048;205236;4015;620769;39;233.6744914;77;29703;31583;254;4;7520;4222;3298;27.86;52;24.17;3729.560543;2764.481397;930.7899769;34.28917
BIHAR;BUXAR;235270;259294;120852;136325;29722;3336;2834700;2336721;416937;53936;1066115;38;229.6651972;219;61217;65083;35;3;16060;11824;4236;9.32;64;79.65;7847.555885;5366.634892;2418.430693;62.4903
BIHAR;KAIMUR (BHABUA);269861;361997;146638;205647;57126;8669;3297622;2286550;543300;103444;1065123;33;239.6297199;184;67935;79259;163;0;26459;12496;13963;20.51;68;56.06;7820.342981;5479.25336;2288.034551;53.05507
BIHAR;JAMUI;369851;485735;220631;299368;48418;15529;4169400;3285617;525245;136602;1761286;30;242.5424148;110;107574;126159;154;0;22417;15942;6475;48.15;67;46.44;10951.72829;7969.014813;2922.68806;60.02542
BIHAR;ARWAL;138569;164034;91545;108991;16220;572;2144400;1179750;144227;7686;574619;30;237.8912607;18;38264;41310;79;0;9776;5586;4190;27.97;68;55.44;4641.930985;2806.522148;1786.331537;49.0773
CHHATTISGARH;BILASPUR;188675;375015;141233;286222;49869;58879;4196736;2685022;470771;522784;1442088;35;191.7800807;1168;76243;126999;908;8;11994;5768;6226;55.7;64;29.41;6810.262831;5149.337358;1388.739493;272.18598
CHHATTISGARH;KAWARDHA;186108;428736;171340;397990;42057;73779;7594537;4916080;451747;1055178;2457750;38;165.9430387;2051;126167;259094;2684;0;12529;9545;2984;43.39;57;25.74;11260.07337;8157.892535;2828.159671;274.02116
CHHATTISGARH;DURG;125320;253494;102802;217603;24184;12814;3548634;2337683;225663;140705;1683833;29;222.601394;223;78605;108009;904;1;9121;5532;3589;40.72;48;42.42;7079.236457;5203.714946;1638.297891;237.22362
CHHATTISGARH;RAJNANDAGON;133014;265534;127824;258293;16435;49666;5399455;3453921;214489;649746;2606807;32;259.2901792;102;106824;141955;1858;0;20731;12353;8378;46.41;71;38.95;10316.4093;8955.677951;1135.644409;225.08694
CHHATTISGARH;SURGUJA;122721;225602;98485;189878;7460;111575;1643949;1057663;36521;602751;468081;28;244.0331425;386;37524;56778;94;4;11008;8061;2947;28.98;60;50.81;4057.328672;2581.048256;1277.677856;198.60256
CHHATTISGARH;KOREA;40355;69418;36376;63848;2543;24966;1266730;813113;27642;321200;378115;34;236.4245111;447;23402;35367;92;0;5184;3173;2011;29.02;73;59.93;2730.090261;1922.398435;713.7010262;93.9908
CHHATTISGARH;JASHPUR;157850;357614;123132;288624;11284;157635;3404776;2209724;75878;1113707;1021178;37;243.8374684;1222;59693;97593;438;0;18687;11256;7431;44.79;70;32.01;8992.354065;5388.135059;3352.455375;251.76363
CHHATTISGARH;KORBA;124740;260317;97363;208344;12425;105334;2996956;1983977;101053;1047208;1048328;37;235.4673952;2381;53103;92802;474;3;18946;12753;6193;38.9;67;32.98;7699.896451;4671.618963;2840.544688;187.7328
CHHATTISGARH;DHAMTARI;163144;402354;148131;374374;22048;104141;3851737;2484892;137744;840878;1394035;23;241.00895;547;107166;179371;708;0;11248;7573;3675;45.01;46;35.62;7863.754279;5988.812117;1603.687302;271.25486
CHHATTISGARH;KANKER;136418;313501;114584;273277;11363;164737;4358200;2793793;108565;1748967;1526802;38;232.1565265;1135;72982;116216;551;4;15687;10709;4978;21.74;67;62.91;8388.218157;6485.972786;1695.59539;206.64998
CHHATTISGARH;BASTAR;118924;240925;71528;158537;2717;110541;1217304;875832;12515;604770;425194;34;249.1437365;839;25147;37008;67;0;12540;8621;3919;19.27;70;62.46;3971.924781;2182.08057;1630.033921;159.81029
CHHATTISGARH;DANTEWADA;38444;82625;31705;70135;1693;55309;758252;482891;10709;390152;236052;30;258.5317506;289;15749;26032;445;0;4649;3202;1447;14.07;47;59.02;1661.188656;1248.426556;329.0091398;83.75296
CHHATTISGARH;RAIGARH;136328;249215;103886;201770;18501;96399;2616842;1706480;153059;782089;865677;34;219.9984481;607;49650;81651;874;3;18131;10006;8125;39.19;60;40.85;6045.269349;3754.229516;2043.079562;247.96027
CHHATTISGARH;JANJGIR-CHAMPA;141808;313528;104764;247555;61687;22679;2346265;1550377;377619;161943;826261;32;209.0323871;230;48277;87873;361;0;8506;7136;1370;44.81;57;24.85;5119.086876;3240.790052;1690.915314;187.38151
CHHATTISGARH;MAHASAMUND;188469;410568;151445;340634;37111;86193;3726011;2408499;234291;633893;1243989;33;196.4677864;695;72050;133726;227;0;10987;6108;4879;50.09;58;31.48;6387.619428;4731.924671;1435.945106;219.74965
CHHATTISGARH;RAIPUR;156126;334640;125947;284833;49133;12828;4400935;2850935;461683;127023;1847913;33;248.1682296;1009;86130;142166;1455;20;12890;11343;1547;41.02;31;42.97;10113.2359;7075.114917;2878.00159;160.11939
CHHATTISGARH;BIJAPUR;44289;102897;41583;97237;4047;72506;874679;562035;19850;433690;275269;28;241.7404786;217;19559;36030;75;14;4129;3258;871;28.07;50;47.33;2372.726932;1358.666099;935.3971032;78.66373
CHHATTISGARH;NARAYANPUR;23602;58331;18721;48369;1096;40830;496302;325082;9345;275300;182291;39;246.3257042;316;8201;14894;130;20;2708;2039;669;31.18;53;33.61;1449.928069;800.7605258;604.8320136;44.33553
CHHATTISGARH;BALODA BAZAR;198001;494986;164705;440427;84102;61308;4604209;2972836;514041;476684;1593736;28;182.1754278;553;103910;216449;1158;1;10359;8386;1973;49.98;46;38.08;7702.175265;5415.776701;2041.622884;244.77568
CHHATTISGARH;GARIYABAND;144165;329300;133666;312676;26269;112956;4236686;2792810;215012;1040022;1448048;31;194.5321634;639;89506;170837;510;0;16118;10011;6107;29.4;63;36.12;8462.683103;5432.913713;2823.61994;206.14945
CHHATTISGARH;BEMETARA;171439;389542;122004;294923;33444;9609;3495486;2265689;238353;78371;1148556;36;178.5680816;642;62742;116156;501;4;9978;6693;3285;29.48;59;58.63;5630.67783;4045.797383;1411.818127;173.06232
CHHATTISGARH;BALOD;154270;375371;140719;352466;22291;112795;4630274;3018583;188345;1030417;2086811;27;239.5029281;136;108666;146780;1378;0;14400;11039;3361;41.46;58;27.55;10321.06662;7229.594672;2685.803895;405.66805
CHHATTISGARH;KONDAGAON;99621;255820;80624;218420;7488;167194;2105146;1368108;40761;1052565;683591;33;243.6110379;1455;40583;73249;535;0;12312;7898;4414;25.33;67;45.86;5868.534113;3332.862099;2360.057904;175.61411
CHHATTISGARH;SUKMA;37286;75296;34536;70763;846;61145;1223151;736931;4966;673876;367430;32;240.7705063;288;22571;42783;283;7;4281;3280;1001;36.77;52;45.73;2458.881146;1774.3125;594.1948255;90.37382
CHHATTISGARH;MUNGELI;138468;295090;110583;244199;55414;21376;3573739;2313675;494785;204458;1126004;42;166.5656907;875;55051;103705;568;1;10339;8453;1886;36.5;56;37.55;5793.798225;3853.788745;1809.40066;130.60882
CHHATTISGARH;SURAJPUR;129392;233731;119676;219115;9252;104721;3295201;2108496;74381;1011492;925381;31;243.5394333;630;66017;103072;393;0;12474;6824;5650;42.98;53;35.51;8089.510192;5135.01921;2779.111762;175.37922
CHHATTISGARH;BALRAMPUR;117340;218880;102154;194485;6355;109481;2910233;1862301;52305;1050679;849301;36;232.1777127;1408;51247;81766;95;0;9171;5090;4081;50.47;59;39.1;6248.703335;4323.847866;1697.72461;227.13086
CHHATTISGARH;GAURELA PENDRA MARWAHI;69031;140943;62344;130263;7870;82707;2505019;1601275;84124;1070544;810845;39;212.3430254;1113;41020;68778;290;0;7610;5561;2049;50.19;65;30.81;4830.080247;3400.19578;1342.706127;87.17834
CHHATTISGARH;SAKTI;140203;317966;100350;249725;64135;44777;2023154;1310620;304606;244841;697052;27;224.6744923;124;48056;89707;637;2;6977;5989;988;53.3;49;20.36;4975.907905;2944.628831;1894.200884;137.07819
CHHATTISGARH;MOHLA MANPUR AMBAGARH CHOWKI;60518;143922;58755;141329;6827;69522;2273810;1448191;71323;711607;835216;32;307.5100411;302;45242;76445;1210;0;11642;6024;5618;46.11;72;39.96;5184.869966;4453.332739;654.9987165;76.53851
CHHATTISGARH;KHAIRAGARH CHHUIKHADAN GANDAI;75748;169854;73604;166106;13149;22843;3222543;2058741;159342;331680;1127820;35;182.6210711;421;57542;103979;1258;0;8817;6067;2750;52.71;68;28.67;4509.223615;3759.694866;634.7447696;114.78398
CHHATTISGARH;SARANGARH BILAIGARH;127737;273488;103573;234916;65767;28375;3046533;1968309;465913;287079;999695;34;208.4825194;676;56608;103465;640;1;11226;8339;2887;46.75;62;30.57;6710.174662;4103.580192;2488.77038;117.82409
CHHATTISGARH;MANENDRAGARH CHIRMIRI BHARATPUR;78445;144599;71910;135061;6129;81467;2156516;1399707;60284;842206;665456;29;244.4335807;375;47614;72326;479;0;10154;7238;2916;23.41;76;66.14;4371.324766;3421.35394;845.7772859;104.19354
DN HAVELI AND DD;DADRA AND NAGAR HAVELI;21144;33136;1;2;0;0;500000;13;0;0;7;13;0.0;0;1;2;0;20;3;3;0;100.0;0;0.0;0.0;0.0;0.0;0.0
GOA;NORTH GOA;20461;24251;3632;4572;225;325;43681;11150;49;1206;9193;18;299.6684305;0;593;612;0;63;323;312;11;62.39;0;16.87;48.5869675;33.41303;14.9319775;0.24196
GOA;SOUTH GOA;18946;26462;3679;5519;11;4317;56319;16711;27;12028;11222;18;239.2051343;0;904;944;0;50;486;482;4;48.54;0;7.48;85.903635;39.97357;44.366215;1.56385
GUJARAT;JAMNAGAR;45633;86875;21295;39584;5309;216;584384;302377;48880;1904;127045;40;224.9939162;110;7428;12581;20;8;3582;3142;440;42.69;50;32.8;965.8014383;680.329854;216.4820943;68.98949
GUJARAT;RAJKOT;109637;305941;17943;47935;3530;154;426290;242809;22825;828;117668;37;204.9568495;17;6538;12521;58;8;2965;2381;584;45.91;65;11.81;976.5440902;497.6536767;424.9734335;53.91698
GUJARAT;SURENDRANAGAR;88467;158902;44072;84087;5188;676;1143229;486618;22080;5443;179385;41;221.3919989;111;11644;18780;38;83;5753;4677;1076;19.39;58;20.61;1387.128503;1077.333317;246.3195757;63.47561
GUJARAT;BHAVNAGAR;98962;251600;56250;149275;5425;590;900143;550321;25525;2904;269860;44;224.4433642;156;12263;28878;115;73;3857;3526;331;75.75;70;6.67;1311.572641;1235.158967;12.6984246;63.71525
GUJARAT;AMRELI;114245;305760;27307;82501;14021;289;689999;343620;66182;1618;167111;42;220.8170794;79;8139;18488;24;59;4970;4617;353;43.64;69;4.86;1251.21894;758.7716483;410.3421721;82.10512
GUJARAT;JUNAGADH;115399;307798;36376;101957;22829;5645;1126328;562003;124613;30852;246299;40;216.1238786;82;13927;28746;418;11;7272;6635;637;40.13;77;8.56;2245.629289;1214.622682;952.8561671;78.15044
GUJARAT;KACHCHH;89133;147597;45843;81629;5638;196;1750761;381022;33497;308;189306;31;208.9175195;60;12095;17390;22;96;4982;4473;509;58.88;76;5.37;1371.500461;796.0217112;494.3659696;81.11278
GUJARAT;BANAS KANTHA;180055;331767;80240;152216;36535;18509;2245029;1349343;359979;151920;710183;42;227.9660826;212;31932;46069;326;11;13477;10116;3361;56.03;75;14.98;3884.535866;3076.044378;623.2592184;185.23227
GUJARAT;SABAR KANTHA;151832;308087;68339;146535;26130;54801;2060171;983836;182562;356698;530903;36;220.260601;308;27134;41497;131;0;9153;7706;1447;51.99;80;10.9;3231.189012;2167.003087;958.8329149;105.35301
GUJARAT;MAHESANA;92990;148942;30275;48015;4786;67;910832;398425;30062;963;149895;36;237.7767393;28;10896;14271;47;37;7214;6388;826;18.13;72;44.74;1531.592204;947.3619737;507.5338905;76.69634
GUJARAT;GANDHINAGAR;36610;50806;14194;20316;651;16;331271;169404;2692;16;73340;29;218.1701731;14;5746;6908;9;24;1784;1673;111;12.64;46;60.75;567.241636;369.589;156.866766;40.78587
GUJARAT;AHMADABAD;83334;173376;20276;41249;3722;592;609693;324278;11791;1381;139135;49;209.1476465;42;6611;12792;78;115;4476;4147;329;52.13;78;8.79;977.2093919;678.219805;240.1035269;58.88606
GUJARAT;KHEDA;138926;281786;38705;76094;1661;458;790164;374596;5487;3232;121989;31;235.3448565;8;11829;15536;33;7;14087;10966;3121;11.19;88;42.62;1366.379724;881.5924186;416.5690154;68.21829
GUJARAT;PANCH MAHALS;270695;495801;137767;265851;10129;49476;4170933;2013945;79142;356422;859732;40;233.5095841;272;49998;67958;194;18;52359;47252;5107;31.27;65;18.72;15594.60543;4702.754593;10558.28033;333.57051
GUJARAT;VADODARA;125110;235547;19243;35461;2722;7720;333045;139478;11151;42591;53635;37;242.5906752;1;3701;4895;9;149;5086;4792;294;0.15;68;22.05;506.3130506;338.360622;112.3044186;55.64801
GUJARAT;BHARUCH;125019;250809;25036;52723;1985;40962;391192;316633;12042;218368;144833;34;231.349313;46;9169;13247;19;25;7490;7138;352;2.39;68;4.86;1265.581512;732.5282701;475.6862422;57.367
GUJARAT;SURAT;186729;402015;66770;165429;1775;156186;973920;1228040;11027;1132800;578399;35;245.8622121;172;34747;48890;65;28;17333;15300;2033;32.34;81;6.83;5011.127752;3019.28631;1889.503452;102.33799
GUJARAT;VALSAD;220839;461518;58268;129856;1217;116053;2054157;707336;6221;627897;390208;30;243.1975935;28;23125;30490;5;4;15147;12080;3067;9.66;87;25.93;2343.982599;1720.22413;532.0205489;91.73792
GUJARAT;DANG;49191;93753;34062;66555;100;64790;1349230;573338;1386;551194;262389;37;265.6205348;53;15282;22824;81;30;10458;9913;545;24.17;82;54.31;1642.31269;1522.903462;33.3432384;86.06599
GUJARAT;PATAN;220400;513666;43455;114411;12386;2480;899018;616207;64299;8225;239939;38;199.5747682;217;15917;26367;249;3;12403;10410;1993;43.93;87;20.82;2003.186599;1229.793692;669.0125471;104.38036
GUJARAT;PORBANDAR;34853;77925;10683;25790;6008;1202;298532;207898;58647;12072;114534;42;192.4965067;79;4940;8006;6;2;1538;1458;80;39.58;53;12.01;511.0614538;400.1963876;71.03145622;39.83361
GUJARAT;ANAND;206419;377444;33992;74414;5807;1286;691851;362653;19307;5251;189840;30;210.586869;70;11765;18146;43;1;4875;3611;1264;34.08;70;37.79;1110.707026;763.6995982;264.3547173;82.65271
GUJARAT;DOHAD;545537;1171002;303796;620352;5906;416919;10581146;6171391;53238;4220358;2902051;44;233.0286554;1959;140219;199608;3803;0;100972;88701;12271;38.75;39;40.24;30394.37153;14381.10946;15591.78716;421.47491
GUJARAT;NARMADA;108671;216683;89632;187552;3683;170633;2527709;1754456;23514;1636064;957180;29;235.4560958;214;58530;96539;828;1;12509;9522;2987;43.62;76;16.39;5461.374194;4130.9736;1211.253184;119.14741
GUJARAT;NAVSARI;139009;206547;67178;103249;848;74319;1625110;852398;8456;553389;609031;25;234.3761609;17;33690;37581;78;8;14329;11716;2613;14.91;82;44.93;2761.889896;1997.817708;661.8596785;102.21251
GUJARAT;TAPI;203552;421513;104250;234397;1912;222967;1871313;1038962;7778;987825;581369;25;229.8291141;76;40674;55397;480;0;14101;11886;2215;36.9;76;21.88;3468.216894;2387.83716;1000.511714;79.86802
GUJARAT;Morbi;30361;66298;5908;12176;1277;32;204749;101457;11184;314;47325;47;222.1673527;53;2158;4168;0;6;1649;1519;130;31.48;67;11.39;440.0813013;225.404331;183.4349603;31.24201
GUJARAT;Botad;53690;125518;23313;55263;1997;41;765659;333138;13067;493;154058;36;206.8951261;29;9090;20860;53;0;2162;1845;317;67.18;69;7.76;837.962724;689.2462851;112.9608089;35.75563
GUJARAT;Chhotaudepur;218192;442772;73456;147328;3111;124356;1578689;1314033;29489;1036647;513303;42;240.4870368;151;30874;43393;354;0;20351;14986;5365;15.6;85;27.18;3545.552206;3160.079025;278.9900615;106.48312
GUJARAT;ARVALLI;146190;301755;77630;167029;8528;50709;2522074;1875828;70455;525795;921143;49;204.2625912;1854;38005;60370;531;1;14781;14315;466;55.73;72;4.56;6851.618699;3831.614879;2947.32923;72.67459
GUJARAT;GIR SOMNATH;46801;109237;25739;62824;6775;866;691853;342174;45547;3911;185851;31;239.138792;43;10842;22358;132;23;3010;2874;136;50.11;65;8.46;1233.103246;818.27077;350.3720256;64.46045
GUJARAT;DEVBHUMI DWARKA;48868;101378;17887;36181;3709;845;434838;101637;9477;2829;41836;26;204.2912894;1;3793;5998;34;17;3315;2882;433;12.84;73;22.3;458.8953538;207.6355378;206.190986;45.06883
GUJARAT;MAHISAGAR;158704;340557;78797;174864;7131;68048;2466688;1311252;41953;551561;569112;39;198.9343052;274;33141;53052;656;11;10364;7748;2616;47.93;70;11.27;3432.884892;2608.530056;745.3541264;79.00071
HARYANA;AMBALA;36340;51016;11553;19112;10918;0;146673;60447;37333;0;42184;19;368.4586688;0;3137;3719;4;236;700;601;99;7.93;41;42.75;251.8755223;222.7222115;6.52139076;22.63192
HARYANA;BHIWANI;83780;163890;39307;83133;43128;0;495550;257058;143799;0;161637;16;335.7753263;0;16023;20974;20;52;1546;1490;56;12.55;4;72.01;1028.373004;863.1373384;133.843646;31.39202
HARYANA;CHARKI DADRI;29609;51777;10094;18162;7594;0;115200;51854;23053;0;29110;17;387.4957814;5;2909;3633;7;44;618;603;15;2.15;1;96.82;209.9042425;200.9320625;0.0;8.97218
HARYANA;FARIDABAD;7359;7917;3593;4006;1147;0;68270;27633;4328;0;14322;31;354.2929468;3;887;962;0;74;57;50;7;58.53;5;34.46;119.8386929;97.90177;20.8328229;1.1041
HARYANA;FATEHABAD;71460;148147;58612;127701;81165;0;1585450;841235;509099;0;512573;20;321.9627019;42;41668;65985;74;6;4344;4075;269;11.92;16;46.65;4142.281822;2708.462935;1403.103897;30.71499
HARYANA;GURUGRAM;13670;17761;4192;5477;2922;0;65000;14892;9169;0;10930;22;344.5510731;1;658;740;0;105;170;145;25;0.0;0;86.71;74.1151136;51.3105458;19.1760178;3.62855
HARYANA;HISAR;114375;227904;65564;141634;80920;0;1360300;902791;531072;0;569751;21;392.0617829;25;41759;59186;85;20;3438;2953;485;10.38;9;59.98;4188.120806;3539.498491;602.163565;46.45875
HARYANA;JHAJJAR;62454;105284;18120;33030;16157;0;260165;136198;71555;0;81415;22;364.7374637;7;6186;7761;1;41;905;660;245;27.93;16;69.09;558.997641;496.7651308;30.42563022;31.80688
HARYANA;JIND;66824;134386;40746;88037;49481;0;697690;329734;188517;0;209752;16;377.2535277;2;19922;25125;38;19;2682;2138;544;38.11;23;52.11;1816.028594;1243.933147;522.1894172;49.90603
HARYANA;KAITHAL;67143;124458;37278;77187;37079;0;600286;298424;137474;0;202864;16;427.2627374;1;17745;23369;59;48;1464;1431;33;9.07;49;84.85;1342.851675;1275.054552;51.0084833;16.78864
HARYANA;KARNAL;90360;164441;51177;104085;57745;0;920657;517930;284162;0;355479;22;322.2722756;11;22599;30341;35;76;1976;1623;353;28.21;32;66.68;1761.599869;1669.144797;54.2836718;38.1714
HARYANA;KURUKSHETRA;62355;119405;27140;58695;21635;0;381262;275354;97872;0;182150;23;355.8809991;27;11792;16442;18;91;1335;1090;245;13.15;32;70.54;1164.070776;979.9325662;151.59413;32.54408
HARYANA;MAHENDRAGARH;63298;88450;20419;32647;9556;0;211800;106106;33403;0;51708;17;341.7211102;6;6000;7553;4;129;1131;1127;4;37.36;17;35.38;423.3854117;362.5866012;42.2937005;18.50511
HARYANA;MEWAT;149379;190598;83555;97817;1691;0;811278;31663;222;0;14638;25;419.8324859;1;1247;1607;0;295;1648;1642;6;6.13;26;21.35;161.45599;132.93156;0.0;28.52443
HARYANA;PALWAL;36509;50353;13905;19370;3319;0;87100;11986;2329;0;5033;15;82.2522276;0;793;961;1;254;897;897;0;21.62;34;42.51;9.858752;9.858752;0.0;0.0
HARYANA;PANCHKULA;16279;24417;6685;11361;3043;0;102634;48863;12407;0;16858;25;366.5881982;1;1950;2309;0;53;241;167;74;21.43;28;61.69;212.8496821;179.1259913;22.0811008;11.64259
HARYANA;PANIPAT;42026;71302;21315;39782;18949;0;385223;259139;122638;0;158871;28;345.7579363;7;9152;12398;9;18;1086;989;97;8.36;38;66.26;982.6110516;895.9936585;51.5823231;35.03507
HARYANA;REWARI;39326;76006;8946;16776;10507;0;86750;52482;34610;0;35794;17;355.75104;0;3050;3757;0;197;442;418;24;26.83;9;55.09;239.1617339;186.7052608;40.12060305;12.33587
HARYANA;ROHTAK;41242;69333;24247;44222;23899;0;364724;287314;136436;0;163875;25;353.0224222;55;11152;14394;2;15;1028;878;150;18.89;17;72.76;1054.872599;1014.282842;14.7678864;25.82187
HARYANA;SIRSA;120459;257879;59256;136743;87390;0;694988;409231;251438;0;243751;14;398.5400013;1;28909;41118;56;35;2895;2830;65;13.89;31;69.54;2064.799237;1630.949233;400.8760742;32.97393
HARYANA;SONIPAT;42936;62631;16572;26209;13146;0;344000;184665;97988;0;113325;24;371.3344027;6;7468;9775;12;71;782;658;124;22.87;30;73.96;783.1128942;685.7246747;47.30257945;50.08564
HARYANA;YAMUNANAGAR;46196;73950;17552;31411;12014;0;215000;106353;37559;0;43388;29;390.9057135;8;3578;4970;1;178;837;470;367;24.55;45;57.96;521.4549242;415.7399535;83.9104207;21.80455
HIMACHAL PRADESH;BILASPUR;92312;169537;44097;85766;21199;2703;980192;396796;95853;13206;249017;31;243.9611086;72;12510;16135;9;1;7917;6323;1594;20.71;69;49.24;1713.689194;968.0279203;640.6396838;105.02159
HIMACHAL PRADESH;CHAMBA;138891;258964;115032;220753;43277;57757;4550008;2074657;429655;500524;1268609;31;250.9024129;146;66686;85408;77;1;15968;12056;3912;10.49;34;48.3;8548.402234;5205.364473;3035.757801;307.27996
HIMACHAL PRADESH;HAMIRPUR;117003;179655;61996;102666;26147;888;1536536;495829;127008;4011;393290;23;214.5373033;11;20676;23416;132;0;9948;7275;2673;23.96;53;41.53;2314.775216;1063.738166;1081.36932;169.66773
HIMACHAL PRADESH;KANGRA;309441;578564;167492;329502;78544;22254;3784895;1199350;294310;75809;929067;19;230.9703184;20;60753;66231;280;1;24604;17230;7374;13.6;18;39.57;7674.818737;2770.142514;4295.669533;609.00669
HIMACHAL PRADESH;KINNAUR;20556;40114;15482;32020;11434;19773;599087;282629;94129;182218;196581;28;290.7913752;66;9893;12275;18;0;3520;2751;769;10.21;67;60.36;1447.821466;821.8607558;577.8699801;48.09073
HIMACHAL PRADESH;KULLU;99768;195909;68456;144056;43488;1825;2064026;917442;292134;6160;502685;28;252.8316476;57;32623;50351;62;0;18247;15547;2700;22.09;70;47.1;3835.974318;2319.583724;1361.867864;154.52273
HIMACHAL PRADESH;LAHUL AND SPITI;6634;14265;4873;11223;942;10280;122832;47189;3055;44134;31318;24;278.260239;2;1893;2590;7;2;745;587;158;24.07;33;53.55;195.5710069;131.3082242;25.2592027;39.00358
HIMACHAL PRADESH;MANDI;286756;523329;209491;400404;110778;4702;7071189;2216939;570909;25224;1627160;23;240.0921265;55;93134;114028;158;1;33058;23753;9305;14.71;43;47.14;10532.54671;5322.695987;4798.133961;411.71676
HIMACHAL PRADESH;SHIMLA;152437;320178;105789;237634;61666;606;2781706;1228156;326451;2396;633672;28;239.7246674;35;42992;65672;70;2;19999;16889;3110;18.48;71;55.4;4522.811315;2944.192886;1305.054108;273.56432
HIMACHAL PRADESH;SIRMAUR;99332;192339;57560;118775;40504;1448;1754024;658047;226598;4941;293663;31;238.0536589;119;20686;29346;33;2;8843;7076;1767;25.71;54;34.05;3418.9557;1566.504961;1671.193449;181.25729
HIMACHAL PRADESH;SOLAN;91806;162047;42857;82026;28142;1279;1131610;365961;116158;3486;187475;29;233.7629946;37;12338;16492;8;4;6683;5434;1249;18.63;71;55.28;1873.684525;855.4813927;869.6756926;148.52744
HIMACHAL PRADESH;UNA;79994;116779;40168;63648;19866;1628;1123895;514555;172346;14415;386279;28;238.2457394;18;17849;19393;49;1;6885;4423;2462;11.45;54;49.22;3143.182474;1225.905365;1753.29774;163.97937
JAMMU AND KASHMIR;KUPWARA;102036;195951;87835;174551;42;5185;2091270;490036;103;20009;159322;17;294.1301445;7;28553;39217;58;0;41463;36599;4864;4.86;74;48.77;2504.246218;1441.343595;948.6179131;114.28471
JAMMU AND KASHMIR;BARAMULLA;102235;169074;65588;115729;28;3680;841743;513946;134;9217;91718;26;259.9136407;23;19580;25398;24;2;10579;9204;1375;10.09;55;54.12;1727.377559;1335.81576;265.6253686;125.93643
JAMMU AND KASHMIR;SRINAGAR;7651;11914;2741;5084;0;1166;50996;8520;0;1675;1869;12;148.7299296;0;689;886;0;9;452;418;34;60.39;68;8.66;43.28928596;12.67179;20.93854596;9.67895
JAMMU AND KASHMIR;BADGAM;83377;117710;54729;81149;53;1522;1008980;329042;612;2115;48939;23;285.509187;0;14189;15728;17;6;7737;7283;454;9.6;44;40.38;1615.542872;939.445139;583.0599629;93.03777
JAMMU AND KASHMIR;PULWAMA;54049;77736;36636;55411;5;3918;666511;320209;38;8089;31093;25;308.4848499;3;12376;14514;27;0;3231;2844;387;6.49;35;53.6;1384.459189;987.796253;319.1920764;77.47086
JAMMU AND KASHMIR;ANANTNAG;106978;239719;83916;198411;35;11092;2271252;1064446;199;49433;389357;34;250.2062648;84;31159;48587;85;1;27111;17423;9688;19.36;60;34.51;4081.736378;2663.310577;1300.157161;118.26864
JAMMU AND KASHMIR;DODA;93263;163152;88267;156494;12877;11128;1826757;164793;14368;15834;75053;23;555.6358263;5;7031;10691;33;2;29893;23454;6439;27.75;27;16.43;3414.593432;915.6489473;2404.879915;94.06457
JAMMU AND KASHMIR;UDHAMPUR;70801;102577;42876;66279;18256;8064;536380;118034;42743;13899;27539;19;278.6459513;2;6074;7564;16;21;8860;7254;1606;16.95;66;11.76;606.6359003;328.8969622;203.3193281;74.41961
JAMMU AND KASHMIR;POONCH;95904;168498;78253;144690;103;45669;1621940;247950;323;94867;100776;34;316.780061;2;7290;11809;52;0;26305;19970;6335;1.24;37;4.98;1988.917239;785.4561612;1111.215358;92.24572
